scenario,level,xml,attempts,success,score,stars,time
4 - selectionneur,[fr]niveau02[/fr][en]level02[/en],levels/infiltration/niveau14.xml,1.0,1.0,4999.0,3.0,30.137
4 - selectionneur,[fr]niveau03[/fr][en]level03[/en],levels/infiltration/niveau15.xml,1.0,1.0,5833.0,3.0,20.549
4 - selectionneur,[fr]niveau04[/fr][en]level04[/en],levels/blocklymaze/niveau07.xml,1.0,1.0,4960.0,3.0,98.669
4 - selectionneur,[fr]niveau05[/fr][en]level05[/en],levels/blocklymaze/niveau08.xml,1.0,1.0,4109.0,3.0,67.822
4 - selectionneur,[fr]niveau06[/fr][en]level06[/en],levels/infiltration/niveau16.xml,1.0,1.0,4166.0,3.0,45.591
4 - selectionneur,[fr]niveau07[/fr][en]level07[/en],levels/infiltration/niveau20.xml,2.0,1.0,4666.0,3.0,78.829
4 - selectionneur,[fr]niveau08[/fr][en]level08[/en],levels/selectionneur/niveau01.xml,2.0,1.0,4527.0,3.0,98.687
blocklymaze,[fr]niveau01[/fr][en]level01[/en],levels/blocklymaze/niveau01.xml,,,,,
blocklymaze,[fr]niveau02[/fr][en]level02[/en],levels/blocklymaze/niveau02.xml,,,,,
blocklymaze,[fr]niveau03[/fr][en]level03[/en],levels/blocklymaze/niveau03.xml,,,,,
blocklymaze,[fr]niveau04[/fr][en]level04[/en],levels/blocklymaze/niveau04.xml,,,,,
blocklymaze,[fr]niveau05[/fr][en]level05[/en],levels/blocklymaze/niveau05.xml,,,,,
blocklymaze,[fr]niveau06[/fr][en]level06[/en],levels/blocklymaze/niveau06.xml,,,,,
blocklymaze,[fr]niveau07[/fr][en]level07[/en],levels/blocklymaze/niveau07.xml,,,,,
blocklymaze,[fr]niveau08[/fr][en]level08[/en],levels/blocklymaze/niveau08.xml,,,,,
blocklymaze,[fr]niveau09[/fr][en]level09[/en],levels/blocklymaze/niveau09.xml,,,,,
blocklymaze,[fr]niveau10[/fr][en]level10[/en],levels/blocklymaze/niveau10.xml,,,,,
infiltration,[fr]niveau01[/fr][en]level01[/en],levels/infiltration/niveau01.xml,,,,,
infiltration,[fr]niveau02[/fr][en]level02[/en],levels/infiltration/niveau02.xml,,,,,
infiltration,[fr]niveau03[/fr][en]level03[/en],levels/infiltration/niveau03.xml,,,,,
infiltration,[fr]niveau04[/fr][en]level04[/en],levels/tutoriel/nommerscript.xml,,,,,
infiltration,[fr]niveau05[/fr][en]level05[/en],levels/infiltration/niveau04.xml,,,,,
infiltration,[fr]niveau06[/fr][en]level06[/en],levels/infiltration/niveau05.xml,,,,,
infiltration,[fr]niveau07[/fr][en]level07[/en],levels/infiltration/niveau06.xml,,,,,
infiltration,[fr]niveau08[/fr][en]level08[/en],levels/infiltration/niveau07.xml,,,,,
infiltration,[fr]niveau09[/fr][en]level09[/en],levels/tutoriel/ouvrirporte.xml,,,,,
