actor,timestamp,verb,xml,scenario,level,success,score
A5A6ED94,2023-09-18T14:13:04.6100000Z,launched,levels/repetiteur/niveau07.xml,3 - repetiteur,[fr]niveau08[/fr][en]level08[/en],,
A5A6ED94,2023-09-18T14:13:48.4090000Z,completed,,,,True,9190
A5A6ED94,2023-09-18T14:13:53.3400000Z,exited,levels/repetiteur/niveau07.xml,,,,
A5A6ED94,2023-09-18T14:13:53.8330000Z,launched,levels/repetiteur/niveau07.xml,3 - repetiteur,[fr]niveau08[/fr][en]level08[/en],,
A5A6ED94,2023-09-18T14:13:58.5040000Z,exited,levels/repetiteur/niveau07.xml,,,,
A5A6ED94,2023-09-18T14:14:01.8020000Z,launched,levels/tutoriel/ouvrirporte.xml,3 - repetiteur,[fr]niveau09[/fr][en]level09[/en],,
A5A6ED94,2023-09-18T14:14:18.3680000Z,completed,,,,True,5499
A5A6ED94,2023-09-18T14:14:20.2760000Z,exited,levels/tutoriel/ouvrirporte.xml,,,,
A5A6ED94,2023-09-18T14:14:20.8620000Z,launched,levels/repetiteur/niveau08.xml,3 - repetiteur,[fr]niveau10[/fr][en]level10[/en],,
A5A6ED94,2023-09-18T14:18:09.8230000Z,exited,levels/repetiteur/niveau08.xml,,,,
A5A6ED94,2023-09-18T14:18:10.4760000Z,launched,levels/repetiteur/niveau08.xml,3 - repetiteur,[fr]niveau10[/fr][en]level10[/en],,
A5A6ED94,2023-09-18T14:21:18.9320000Z,completed,,,,True,7447
A5A6ED94,2023-09-18T14:21:22.5760000Z,exited,levels/repetiteur/niveau08.xml,,,,
A5A6ED94,2023-09-18T14:21:30.0320000Z,launched,levels/blocklymaze/niveau06.xml,4 - selectionneur,[fr]niveau01[/fr][en]level01[/en],,
A5A6ED94,2023-09-18T14:22:39.3150000Z,completed,,,,True,4893
A5A6ED94,2023-09-18T14:22:42.4790000Z,exited,levels/blocklymaze/niveau06.xml,,,,
A5A6ED94,2023-09-18T14:22:42.9610000Z,launched,levels/infiltration/niveau14.xml,4 - selectionneur,[fr]niveau02[/fr][en]level02[/en],,
A5A6ED94,2023-09-18T14:23:13.0980000Z,completed,,,,True,4999
A5A6ED94,2023-09-18T14:23:13.9200000Z,exited,levels/infiltration/niveau14.xml,,,,
A5A6ED94,2023-09-18T14:23:16.1830000Z,launched,levels/infiltration/niveau15.xml,4 - selectionneur,[fr]niveau03[/fr][en]level03[/en],,
A5A6ED94,2023-09-18T14:23:36.7320000Z,completed,,,,True,5833
A5A6ED94,2023-09-18T14:23:37.5390000Z,exited,levels/infiltration/niveau15.xml,,,,
A5A6ED94,2023-09-18T14:23:38.0010000Z,launched,levels/blocklymaze/niveau07.xml,4 - selectionneur,[fr]niveau04[/fr][en]level04[/en],,
A5A6ED94,2023-09-18T14:25:16.6700000Z,completed,,,,True,4960
A5A6ED94,2023-09-18T14:25:17.3620000Z,exited,levels/blocklymaze/niveau07.xml,,,,
A5A6ED94,2023-09-18T14:25:17.9010000Z,launched,levels/blocklymaze/niveau08.xml,4 - selectionneur,[fr]niveau05[/fr][en]level05[/en],,
A5A6ED94,2023-09-18T14:26:25.7230000Z,completed,,,,True,4109
