actor,timestamp,verb,xml,scenario,level,success,score
A5A6EC6D,2023-09-23T09:48:18.8890000Z,launched,levels/explorateur/niveau04.xml,1 - explorateur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-23T10:01:16.6260000Z,exited,levels/explorateur/niveau04.xml,,,,
A5A6EC6D,2023-09-23T10:01:22.2970000Z,launched,levels/explorateur/niveau05.xml,1 - explorateur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-23T10:04:42.5810000Z,exited,levels/explorateur/niveau05.xml,,,,
A5A6EC6D,2023-09-23T10:04:46.1540000Z,launched,levels/tutoriel/ouvrirporte.xml,1 - explorateur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2023-09-23T10:07:13.1700000Z,exited,levels/tutoriel/ouvrirporte.xml,,,,
A5A6EC6D,2023-09-23T10:07:17.0030000Z,launched,levels/explorateur/niveau06.xml,1 - explorateur,[fr]niveau07[/fr][en]level07[/en],,
A5A6EC6D,2023-09-23T10:09:59.5330000Z,exited,levels/explorateur/niveau06.xml,,,,
A5A6EC6D,2023-09-23T10:10:04.6630000Z,launched,levels/explorateur/niveau07.xml,1 - explorateur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-23T10:12:39.0980000Z,exited,levels/explorateur/niveau07.xml,,,,
A5A6EC6D,2023-09-23T10:12:42.5990000Z,launched,levels/explorateur/niveau08.xml,1 - explorateur,[fr]niveau09[/fr][en]level09[/en],,
A5A6EC6D,2023-09-23T10:21:26.6400000Z,exited,levels/explorateur/niveau08.xml,,,,
A5A6EC6D,2023-09-23T10:21:33.3090000Z,launched,levels/collaborateur/niveau01.xml,2 - collaborateur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-23T10:24:06.4550000Z,exited,levels/collaborateur/niveau01.xml,,,,
A5A6EC6D,2023-09-23T10:24:08.7720000Z,launched,levels/collaborateur/niveau02.xml,2 - collaborateur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-23T10:29:35.3210000Z,exited,levels/collaborateur/niveau02.xml,,,,
A5A6EC6D,2023-09-23T10:29:40.9760000Z,launched,levels/collaborateur/niveau03.xml,2 - collaborateur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-23T10:32:16.5170000Z,exited,levels/collaborateur/niveau03.xml,,,,
A5A6EC6D,2023-09-23T10:32:19.9030000Z,launched,levels/collaborateur/niveau04.xml,2 - collaborateur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-23T10:36:38.1190000Z,exited,levels/collaborateur/niveau04.xml,,,,
A5A6EC6D,2023-09-23T10:36:41.4230000Z,launched,levels/infiltration/niveau07.xml,2 - collaborateur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2023-09-23T10:39:35.9450000Z,exited,levels/infiltration/niveau07.xml,,,,
A5A6EC6D,2023-09-23T10:39:41.2600000Z,launched,levels/infiltration/niveau10.xml,2 - collaborateur,[fr]niveau07[/fr][en]level07[/en],,
A5A6EC6D,2023-09-23T10:42:16.8640000Z,exited,levels/infiltration/niveau10.xml,,,,
A5A6EC6D,2023-09-23T10:42:23.4990000Z,launched,levels/collaborateur/niveau05.xml,2 - collaborateur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-23T10:44:40.6570000Z,exited,levels/collaborateur/niveau05.xml,,,,
A5A6EC6D,2023-09-23T10:44:41.1820000Z,launched,levels/collaborateur/niveau05.xml,2 - collaborateur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-23T10:45:49.7430000Z,completed,,,,True,14143
A5A6EC6D,2023-09-23T10:48:13.7970000Z,exited,levels/collaborateur/niveau05.xml,,,,
A5A6EC6D,2023-09-23T10:48:14.3520000Z,launched,levels/collaborateur/niveau06.xml,2 - collaborateur,[fr]niveau09[/fr][en]level09[/en],,
A5A6EC6D,2023-09-23T10:50:50.8540000Z,exited,levels/collaborateur/niveau06.xml,,,,
A5A6EC6D,2023-09-23T10:50:54.7990000Z,launched,levels/collaborateur/niveau07.xml,2 - collaborateur,[fr]niveau10[/fr][en]level10[/en],,
A5A6EC6D,2023-09-23T10:52:19.1580000Z,completed,,,,False,
A5A6EC6D,2023-09-23T10:52:25.2590000Z,exited,levels/collaborateur/niveau07.xml,,,,
A5A6EC6D,2023-09-23T10:52:25.7970000Z,launched,levels/collaborateur/niveau07.xml,2 - collaborateur,[fr]niveau10[/fr][en]level10[/en],,
A5A6EC6D,2023-09-23T10:53:30.0090000Z,completed,,,,True,13784
A5A6EC6D,2023-09-23T10:55:34.6220000Z,exited,levels/collaborateur/niveau07.xml,,,,
A5A6EC6D,2023-09-23T10:55:35.0830000Z,launched,levels/tutoriel/createscript.xml,2 - collaborateur,[fr]niveau11[/fr][en]level11[/en],,
A5A6EC6D,2023-09-23T10:56:03.5900000Z,exited,levels/tutoriel/createscript.xml,,,,
A5A6EC6D,2023-09-23T10:56:07.1100000Z,launched,levels/collaborateur/niveau08.xml,2 - collaborateur,[fr]niveau12[/fr][en]level12[/en],,
A5A6EC6D,2023-09-23T10:58:28.9940000Z,exited,levels/collaborateur/niveau08.xml,,,,
A5A6EC6D,2023-09-23T10:58:39.7610000Z,launched,levels/repetiteur/niveau01.xml,3 - repetiteur,[fr]niveau01[/fr][en]level01[/en],,
A5A6EC6D,2023-09-23T11:00:48.9570000Z,exited,levels/repetiteur/niveau01.xml,,,,
A5A6EC6D,2023-09-23T11:00:52.7750000Z,launched,levels/repetiteur/niveau02.xml,3 - repetiteur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-23T11:04:26.2410000Z,exited,levels/repetiteur/niveau02.xml,,,,
A5A6EC6D,2023-09-23T11:04:29.5480000Z,launched,levels/repetiteur/niveau03.xml,3 - repetiteur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-23T11:09:12.7070000Z,exited,levels/repetiteur/niveau03.xml,,,,
A5A6EC6D,2023-09-23T11:09:15.8230000Z,launched,levels/blocklymaze/niveau04.xml,3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-23T11:50:39.4920000Z,launched,levels/repetiteur/niveau03.xml,3 - repetiteur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-23T11:50:57.7730000Z,exited,levels/repetiteur/niveau03.xml,,,,
A5A6EC6D,2023-09-23T11:50:59.8570000Z,launched,levels/blocklymaze/niveau04.xml,3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-23T11:51:04.3050000Z,exited,levels/blocklymaze/niveau04.xml,,,,
A5A6EC6D,2023-09-23T11:51:06.0780000Z,launched,levels/repetiteur/niveau04.xml,3 - repetiteur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-23T11:51:08.7550000Z,exited,levels/repetiteur/niveau04.xml,,,,
A5A6EC6D,2023-09-23T11:51:11.1120000Z,launched,levels/repetiteur/niveau05.xml,3 - repetiteur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2023-09-23T11:51:22.5540000Z,exited,levels/repetiteur/niveau05.xml,,,,
A5A6EC6D,2023-09-23T11:51:24.9050000Z,launched,levels/repetiteur/niveau06.xml,3 - repetiteur,[fr]niveau07[/fr][en]level07[/en],,
A5A6EC6D,2023-09-23T11:51:29.5380000Z,exited,levels/repetiteur/niveau06.xml,,,,
A5A6EC6D,2023-09-23T11:51:31.7210000Z,launched,levels/repetiteur/niveau07.xml,3 - repetiteur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-23T11:51:56.3020000Z,exited,levels/repetiteur/niveau07.xml,,,,
A5A6EC6D,2023-09-23T11:51:58.3540000Z,launched,levels/repetiteur/niveau08.xml,3 - repetiteur,[fr]niveau10[/fr][en]level10[/en],,
A5A6EC6D,2023-09-23T11:52:53.1340000Z,exited,levels/repetiteur/niveau08.xml,,,,
A5A6EC6D,2023-09-23T11:53:01.5210000Z,launched,levels/infiltration/niveau14.xml,4 - selectionneur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-23T11:55:26.3200000Z,completed,,,,True,4999
A5A6EC6D,2023-09-23T11:56:26.9060000Z,exited,levels/infiltration/niveau14.xml,,,,
A5A6EC6D,2023-09-23T11:56:27.0630000Z,launched,levels/infiltration/niveau14.xml,4 - selectionneur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-23T11:57:24.3160000Z,exited,levels/infiltration/niveau14.xml,,,,
A5A6EC6D,2023-09-23T11:57:26.7390000Z,launched,levels/infiltration/niveau15.xml,4 - selectionneur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-23T11:59:28.0260000Z,exited,levels/infiltration/niveau15.xml,,,,
A5A6EC6D,2023-09-23T11:59:29.6840000Z,launched,levels/blocklymaze/niveau07.xml,4 - selectionneur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-23T12:02:58.4650000Z,exited,levels/blocklymaze/niveau07.xml,,,,
A5A6EC6D,2023-09-23T12:03:01.5100000Z,launched,levels/blocklymaze/niveau08.xml,4 - selectionneur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-23T12:06:24.3720000Z,completed,,,,True,4109
A5A6EC6D,2023-09-23T12:07:11.2660000Z,exited,levels/blocklymaze/niveau08.xml,,,,
A5A6EC6D,2023-09-23T12:07:11.5110000Z,launched,levels/infiltration/niveau16.xml,4 - selectionneur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2023-09-23T12:10:59.5030000Z,exited,levels/infiltration/niveau16.xml,,,,
A5A6EC6D,2023-09-23T12:11:01.7240000Z,launched,levels/infiltration/niveau20.xml,4 - selectionneur,[fr]niveau07[/fr][en]level07[/en],,
A5A6EC6D,2023-09-23T12:14:59.4240000Z,exited,levels/infiltration/niveau20.xml,,,,
A5A6EC6D,2023-09-23T12:15:01.5730000Z,launched,levels/selectionneur/niveau01.xml,4 - selectionneur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-24T11:13:46.5170000Z,launched,levels/collaborateur/niveau05.xml,2 - collaborateur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-10-15T14:02:18.7160000Z,launched,levels/collaborateur/niveau03.xml,2 - collaborateur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-10-15T14:05:39.4390000Z,exited,levels/collaborateur/niveau03.xml,,,,
A5A6EC6D,2023-10-15T14:05:39.9390000Z,launched,levels/collaborateur/niveau03.xml,2 - collaborateur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-10-15T14:06:30.9160000Z,completed,,,,True,13850
A5A6EC6D,2023-10-15T14:06:40.3990000Z,exited,levels/collaborateur/niveau03.xml,,,,
A5A6EC6D,2023-10-15T16:05:18.9770000Z,launched,levels/explorateur/niveau01.xml,1 - explorateur,[fr]niveau01[/fr][en]level01[/en],,
A5A6EC6D,2023-10-15T16:06:26.2330000Z,exited,levels/explorateur/niveau01.xml,,,,
A5A6EC6D,2023-10-15T16:06:32.6740000Z,launched,levels/blocklymaze/niveau07.xml,4 - selectionneur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-10-15T16:06:37.5320000Z,exited,levels/blocklymaze/niveau07.xml,,,,
A5A6EC6D,2023-10-15T16:06:40.9880000Z,launched,levels/infiltration/niveau16.xml,4 - selectionneur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2024-01-08T13:21:06.6440000Z,launched,levels/infiltration/niveau16.xml,4 - selectionneur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2024-01-08T13:21:17.5200000Z,exited,levels/infiltration/niveau16.xml,,,,
